%% File generated by CATS v.2.1Thu May  9 13:28:48 2024

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 8; Bids: 20; Distribution: scheduling; Runs: 1; Seed: 36
% Scheduling Distribution Parameters:
% max_length                = 10
% deviation                 = 0.500000
% prob_additional_deadline  = 0.700000
% additivity                = 0.200000



goods 8
bids 23
dummy 4

0	4.41143	0	1	2	8	#
1	4.41143	1	2	3	8	#
2	4.41143	2	3	4	8	#
3	4.41143	3	4	5	8	#
4	4.41143	4	5	6	8	#
5	3.78122	5	6	7	8	#
6	12.9007	0	1	2	3	4	5	6	9	#
7	12.9007	1	2	3	4	5	6	7	9	#
8	0.531921	0	10	#
9	0.531921	1	10	#
10	0.531921	2	10	#
11	0.531921	3	10	#
12	0.531921	4	10	#
13	0.531921	5	10	#
14	0.531921	6	10	#
15	0.455932	7	10	#
16	0.840515	0	11	#
17	0.840515	1	11	#
18	0.840515	2	11	#
19	0.840515	3	11	#
20	0.840515	4	11	#
21	0.672412	5	11	#
22	0.560344	6	11	#
