%% File generated by CATS v.2.1Thu May  9 12:38:57 2024

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 16; Bids: 20; Distribution: arbitrary; Runs: 1; Seed: 92
% Arbitrary Distribution Parameters:
% Max Substitutable Bids = 5
% Removing HV Neighbor   = 0.1
% Adding DIAG Neighbor   = 0.2
% Additional Location    = 0.9
% Additivity             = 0.2
% Budget Factor          = 1.5
% Resale Factor          = 0.5
% Uniform Private Value:
%   Deviation            = 0.5
%   Max Good Value       = 100



goods 16
bids 20
dummy 3

0	70.2988	1	#
1	1181.57	8	4	12	7	14	1	13	5	3	10	6	2	15	0	11	9	#
2	687.416	0	1	2	3	4	5	6	8	10	12	13	14	15	16	#
3	719.257	0	2	4	5	6	8	9	10	11	12	13	14	15	16	#
4	710.117	0	1	2	4	5	6	8	10	11	12	13	14	15	16	#
5	705.064	0	1	2	4	5	6	8	9	10	12	13	14	15	16	#
6	701.609	0	2	3	4	5	6	8	10	11	12	13	14	15	16	#
7	686.941	0	1	3	4	5	6	8	9	10	12	13	14	15	16	#
8	662.698	0	1	4	5	6	8	9	12	13	14	17	#
9	763.475	4	6	7	8	9	11	12	13	14	15	17	#
10	717.435	0	2	5	6	7	8	9	11	14	15	17	#
11	714.838	0	2	4	5	6	8	9	11	14	15	17	#
12	701.756	2	5	7	8	9	11	12	13	14	15	17	#
13	695.491	0	4	6	7	8	10	11	12	14	15	17	#
14	677.55	0	3	4	5	6	7	8	11	12	15	18	#
15	753.625	1	3	4	6	7	8	9	11	14	15	18	#
16	731.595	0	3	4	5	6	7	8	9	11	14	18	#
17	725.516	0	3	4	5	8	9	11	13	14	15	18	#
18	712.224	0	3	4	6	7	8	9	13	14	15	18	#
19	705.199	0	1	3	4	6	7	8	12	14	15	18	#
