%% File generated by CATS v.2.1Thu May  9 12:38:57 2024

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 16; Bids: 20; Distribution: arbitrary; Runs: 1; Seed: 64
% Arbitrary Distribution Parameters:
% Max Substitutable Bids = 5
% Removing HV Neighbor   = 0.1
% Adding DIAG Neighbor   = 0.2
% Additional Location    = 0.9
% Additivity             = 0.2
% Budget Factor          = 1.5
% Resale Factor          = 0.5
% Uniform Private Value:
%   Deviation            = 0.5
%   Max Good Value       = 100



goods 16
bids 23
dummy 4

0	330.428	5	6	7	11	12	13	16	#
1	485.742	2	7	10	11	12	13	16	#
2	431.555	0	1	2	7	9	12	16	#
3	367.801	2	4	6	7	12	13	16	#
4	356.948	1	2	3	4	5	12	16	#
5	307.084	0	2	6	9	10	13	16	#
6	43.1641	4	#
7	159.419	1	5	6	12	17	#
8	152.483	4	5	6	12	17	#
9	101.201	3	4	6	15	17	#
10	31.4574	6	#
11	657.033	3	5	7	9	10	12	13	14	15	18	#
12	729.035	2	3	4	5	7	8	9	10	12	18	#
13	687.391	2	3	5	7	9	10	11	14	15	18	#
14	682.414	2	3	4	5	7	8	9	12	15	18	#
15	656.224	2	5	6	7	9	10	12	13	14	18	#
16	655.003	3	4	7	8	9	10	12	13	15	18	#
17	362.907	0	2	4	5	6	8	9	10	13	19	#
18	424.371	0	5	8	9	10	12	13	14	15	19	#
19	391.559	0	2	3	4	5	9	10	12	14	19	#
20	369.255	4	5	6	8	9	10	12	14	15	19	#
21	363.482	0	1	3	4	5	7	9	10	14	19	#
22	358.048	0	1	3	4	5	8	10	12	14	19	#
