%% File generated by CATS v.2.1Thu May  9 12:50:14 2024

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 16; Bids: 20; Distribution: regions; Runs: 1; Seed: 82
% Regions Distribution Parameters:
% Max Substitutable Bids = 5
% Removing HV Neighbor   = 0.1
% Adding DIAG Neighbor   = 0.2
% Additional Location    = 0.9
% Jump Probability       = 0.05
% Additivity             = 0.2
% Budget Factor          = 1.5
% Resale Factor          = 0.5
% Normal Private Value:
%   Mean                 = 0
%   Standard Deviation   = 30



goods 16
bids 23
dummy 4

0	339.23	1	4	5	8	9	16	#
1	320.931	0	1	2	4	6	16	#
2	303.015	4	5	8	9	12	16	#
3	291.988	1	4	5	9	12	16	#
4	248.681	1	2	5	6	9	16	#
5	592.38	0	1	2	3	4	6	7	8	9	10	12	17	#
6	709.895	0	1	2	3	4	5	6	7	8	9	10	17	#
7	691.067	2	3	4	5	6	7	8	9	10	13	14	17	#
8	682.404	0	1	2	4	5	6	8	9	10	13	14	17	#
9	619.701	2	3	4	5	6	7	8	9	12	13	15	17	#
10	616.474	0	1	2	4	5	6	8	9	10	12	13	17	#
11	795.243	0	1	2	3	5	6	7	8	9	10	11	12	13	14	15	18	#
12	883.245	0	1	3	4	5	6	7	8	9	10	11	12	13	14	15	18	#
13	880.715	0	1	2	4	5	6	7	8	9	10	11	12	13	14	15	18	#
14	871.949	0	1	2	3	4	5	6	7	8	9	10	11	13	14	15	18	#
15	866.487	0	1	2	3	4	5	6	7	8	9	10	11	12	13	15	18	#
16	852.303	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	18	#
17	1094.85	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	19	#
18	1102.98	0	1	2	3	4	5	6	7	8	9	10	11	13	14	15	19	#
19	1097.23	0	2	3	4	5	6	7	8	9	10	11	12	13	14	15	19	#
20	1064.74	0	1	2	4	5	6	7	8	9	10	11	12	13	14	15	19	#
21	1051.03	0	1	3	4	5	6	7	8	9	10	11	12	13	14	15	19	#
22	1045.57	0	1	2	3	4	5	6	8	9	10	11	12	13	14	15	19	#
