%% File generated by CATS v.2.1Thu May  9 13:09:06 2024

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 16; Bids: 20; Distribution: scheduling; Runs: 1; Seed: 46
% Scheduling Distribution Parameters:
% max_length                = 10
% deviation                 = 0.500000
% prob_additional_deadline  = 0.700000
% additivity                = 0.200000



goods 16
bids 27
dummy 3

0	4.84985	0	1	2	3	4	5	16	#
1	4.84985	1	2	3	4	5	6	16	#
2	4.84985	2	3	4	5	6	7	16	#
3	4.84985	3	4	5	6	7	8	16	#
4	3.52716	4	5	6	7	8	9	16	#
5	3.52716	5	6	7	8	9	10	16	#
6	3.52716	6	7	8	9	10	11	16	#
7	2.98452	7	8	9	10	11	12	16	#
8	2.98452	8	9	10	11	12	13	16	#
9	2.58659	9	10	11	12	13	14	16	#
10	2.58659	10	11	12	13	14	15	16	#
11	11.5935	0	1	2	3	4	5	6	7	17	#
12	11.5935	1	2	3	4	5	6	7	8	17	#
13	11.5935	2	3	4	5	6	7	8	9	17	#
14	11.5935	3	4	5	6	7	8	9	10	17	#
15	10.5395	4	5	6	7	8	9	10	11	17	#
16	8.91806	5	6	7	8	9	10	11	12	17	#
17	8.91806	6	7	8	9	10	11	12	13	17	#
18	8.28106	7	8	9	10	11	12	13	14	17	#
19	15.3672	0	1	2	3	4	5	6	7	18	#
20	15.3672	1	2	3	4	5	6	7	8	18	#
21	15.3672	2	3	4	5	6	7	8	9	18	#
22	9.87892	3	4	5	6	7	8	9	10	18	#
23	9.87892	4	5	6	7	8	9	10	11	18	#
24	9.87892	5	6	7	8	9	10	11	12	18	#
25	9.87892	6	7	8	9	10	11	12	13	18	#
26	9.87892	7	8	9	10	11	12	13	14	18	#
