%% File generated by CATS v.2.1Thu May  9 12:50:13 2024

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 16; Bids: 20; Distribution: regions; Runs: 1; Seed: 74
% Regions Distribution Parameters:
% Max Substitutable Bids = 5
% Removing HV Neighbor   = 0.1
% Adding DIAG Neighbor   = 0.2
% Additional Location    = 0.9
% Jump Probability       = 0.05
% Additivity             = 0.2
% Budget Factor          = 1.5
% Resale Factor          = 0.5
% Normal Private Value:
%   Mean                 = 0
%   Standard Deviation   = 30



goods 16
bids 25
dummy 5

0	790.869	0	1	2	3	4	5	6	7	8	9	10	11	12	13	15	16	#
1	694.903	0	1	2	3	4	5	6	7	9	10	11	12	13	14	15	16	#
2	208.475	8	9	14	15	17	#
3	229.969	8	9	12	13	17	#
4	177.997	5	9	10	14	17	#
5	109.868	9	10	13	14	17	#
6	103.902	9	13	14	15	17	#
7	626.223	0	1	2	3	4	5	6	7	10	11	13	14	15	18	#
8	709.636	2	3	4	6	7	8	9	10	11	12	13	14	15	18	#
9	694.964	0	1	2	3	4	5	6	7	8	10	11	12	15	18	#
10	675.965	2	3	4	5	7	8	9	10	11	12	13	14	15	18	#
11	675.65	0	1	2	3	4	5	8	9	10	12	13	14	15	18	#
12	674.177	0	1	2	4	5	6	7	8	9	12	13	14	15	18	#
13	765.663	0	1	2	3	4	5	6	7	8	9	10	12	13	19	#
14	912.476	0	1	2	4	5	6	7	8	9	10	11	12	14	19	#
15	904.36	0	1	2	4	5	6	8	9	10	11	12	13	14	19	#
16	890.361	0	2	3	4	5	6	7	8	9	10	11	12	14	19	#
17	889.428	0	2	4	6	7	8	9	10	11	12	13	14	15	19	#
18	882.82	0	1	2	4	5	6	7	8	9	10	12	13	14	19	#
19	588.107	1	2	3	4	5	6	7	8	11	12	13	14	15	20	#
20	614.687	0	1	2	3	4	5	6	7	8	9	10	12	14	20	#
21	524.252	1	2	4	5	6	7	8	9	10	12	13	14	15	20	#
22	523.718	2	3	4	5	6	7	8	9	10	12	13	14	15	20	#
23	506.362	1	2	3	4	5	6	7	8	9	10	11	13	14	20	#
24	498.523	2	4	5	6	7	8	9	10	11	12	13	14	15	20	#
