%% File generated by CATS v.2.1Thu May  9 12:50:14 2024

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 16; Bids: 20; Distribution: regions; Runs: 1; Seed: 89
% Regions Distribution Parameters:
% Max Substitutable Bids = 5
% Removing HV Neighbor   = 0.1
% Adding DIAG Neighbor   = 0.2
% Additional Location    = 0.9
% Jump Probability       = 0.05
% Additivity             = 0.2
% Budget Factor          = 1.5
% Resale Factor          = 0.5
% Uniform Private Value:
%   Deviation            = 0.5
%   Max Good Value       = 100



goods 16
bids 20
dummy 4

0	122.817	7	11	16	#
1	150.323	3	7	16	#
2	438.744	2	3	4	5	6	7	11	13	14	15	17	#
3	599.847	0	1	2	4	5	6	7	8	10	14	17	#
4	583.115	0	1	2	3	4	5	6	7	11	15	17	#
5	573.255	2	3	4	5	6	7	8	11	14	15	17	#
6	570.565	1	4	5	6	7	8	9	11	14	15	17	#
7	561.395	0	1	4	5	6	7	8	9	12	13	17	#
8	492.42	1	4	5	8	9	12	13	14	18	#
9	505.884	4	5	8	9	10	11	12	14	18	#
10	498.113	3	4	5	6	7	8	9	12	18	#
11	463.805	4	5	8	9	10	12	13	14	18	#
12	461.55	4	5	6	8	9	10	12	14	18	#
13	458.015	4	5	8	9	10	12	14	15	18	#
14	481.581	5	8	9	10	11	13	14	15	19	#
15	649.824	1	4	5	8	9	10	12	13	19	#
16	638.128	0	1	4	5	8	9	10	11	19	#
17	605.634	1	5	6	8	9	10	11	12	19	#
18	578.309	4	5	8	9	10	11	12	13	19	#
19	573.21	1	4	5	6	9	10	11	14	19	#
