%% File generated by CATS v.2.1Thu May  9 13:09:08 2024

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 64; Bids: 500; Distribution: scheduling; Runs: 1; Seed: 11
% Scheduling Distribution Parameters:
% max_length                = 10
% deviation                 = 0.500000
% prob_additional_deadline  = 0.700000
% additivity                = 0.200000



goods 64
bids 518
dummy 10

0	6.17554	0	1	2	3	4	5	64	#
1	6.17554	1	2	3	4	5	6	64	#
2	6.17554	2	3	4	5	6	7	64	#
3	6.17554	3	4	5	6	7	8	64	#
4	6.17554	4	5	6	7	8	9	64	#
5	6.17554	5	6	7	8	9	10	64	#
6	6.17554	6	7	8	9	10	11	64	#
7	6.17554	7	8	9	10	11	12	64	#
8	6.17554	8	9	10	11	12	13	64	#
9	6.17554	9	10	11	12	13	14	64	#
10	4.5504	10	11	12	13	14	15	64	#
11	4.5504	11	12	13	14	15	16	64	#
12	4.5504	12	13	14	15	16	17	64	#
13	4.5504	13	14	15	16	17	18	64	#
14	4.5504	14	15	16	17	18	19	64	#
15	4.32288	15	16	17	18	19	20	64	#
16	1.5168	16	17	18	19	20	21	64	#
17	1.5168	17	18	19	20	21	22	64	#
18	1.5168	18	19	20	21	22	23	64	#
19	1.5168	19	20	21	22	23	24	64	#
20	1.5168	20	21	22	23	24	25	64	#
21	1.5168	21	22	23	24	25	26	64	#
22	1.5168	22	23	24	25	26	27	64	#
23	1.5168	23	24	25	26	27	28	64	#
24	1.5168	24	25	26	27	28	29	64	#
25	1.5168	25	26	27	28	29	30	64	#
26	1.5168	26	27	28	29	30	31	64	#
27	1.5168	27	28	29	30	31	32	64	#
28	1.5168	28	29	30	31	32	33	64	#
29	1.5168	29	30	31	32	33	34	64	#
30	1.5168	30	31	32	33	34	35	64	#
31	1.5168	31	32	33	34	35	36	64	#
32	1.5168	32	33	34	35	36	37	64	#
33	1.5168	33	34	35	36	37	38	64	#
34	1.5168	34	35	36	37	38	39	64	#
35	1.5168	35	36	37	38	39	40	64	#
36	1.5168	36	37	38	39	40	41	64	#
37	1.5168	37	38	39	40	41	42	64	#
38	1.5168	38	39	40	41	42	43	64	#
39	1.5168	39	40	41	42	43	44	64	#
40	1.5168	40	41	42	43	44	45	64	#
41	1.5168	41	42	43	44	45	46	64	#
42	1.5168	42	43	44	45	46	47	64	#
43	1.5168	43	44	45	46	47	48	64	#
44	1.5168	44	45	46	47	48	49	64	#
45	1.5168	45	46	47	48	49	50	64	#
46	1.5168	46	47	48	49	50	51	64	#
47	1.5168	47	48	49	50	51	52	64	#
48	1.5168	48	49	50	51	52	53	64	#
49	1.5168	49	50	51	52	53	54	64	#
50	1.5168	50	51	52	53	54	55	64	#
51	1.5168	51	52	53	54	55	56	64	#
52	1.5168	52	53	54	55	56	57	64	#
53	1.41734	53	54	55	56	57	58	64	#
54	1.41734	54	55	56	57	58	59	64	#
55	1.41734	55	56	57	58	59	60	64	#
56	1.41734	56	57	58	59	60	61	64	#
57	1.37234	57	58	59	60	61	62	64	#
58	1.37234	58	59	60	61	62	63	64	#
59	17.2338	0	1	2	3	4	5	6	7	65	#
60	17.2338	1	2	3	4	5	6	7	8	65	#
61	17.2338	2	3	4	5	6	7	8	9	65	#
62	17.2338	3	4	5	6	7	8	9	10	65	#
63	17.2338	4	5	6	7	8	9	10	11	65	#
64	17.2338	5	6	7	8	9	10	11	12	65	#
65	17.2338	6	7	8	9	10	11	12	13	65	#
66	17.2338	7	8	9	10	11	12	13	14	65	#
67	17.2338	8	9	10	11	12	13	14	15	65	#
68	17.2338	9	10	11	12	13	14	15	16	65	#
69	17.2338	10	11	12	13	14	15	16	17	65	#
70	17.2338	11	12	13	14	15	16	17	18	65	#
71	17.2338	12	13	14	15	16	17	18	19	65	#
72	7.61495	13	14	15	16	17	18	19	20	65	#
73	7.61495	14	15	16	17	18	19	20	21	65	#
74	7.61495	15	16	17	18	19	20	21	22	65	#
75	7.61495	16	17	18	19	20	21	22	23	65	#
76	7.61495	17	18	19	20	21	22	23	24	65	#
77	7.61495	18	19	20	21	22	23	24	25	65	#
78	7.61495	19	20	21	22	23	24	25	26	65	#
79	7.61495	20	21	22	23	24	25	26	27	65	#
80	7.61495	21	22	23	24	25	26	27	28	65	#
81	7.61495	22	23	24	25	26	27	28	29	65	#
82	7.61495	23	24	25	26	27	28	29	30	65	#
83	7.61495	24	25	26	27	28	29	30	31	65	#
84	7.61495	25	26	27	28	29	30	31	32	65	#
85	7.61495	26	27	28	29	30	31	32	33	65	#
86	7.61495	27	28	29	30	31	32	33	34	65	#
87	7.61495	28	29	30	31	32	33	34	35	65	#
88	7.61495	29	30	31	32	33	34	35	36	65	#
89	7.61495	30	31	32	33	34	35	36	37	65	#
90	7.61495	31	32	33	34	35	36	37	38	65	#
91	7.61495	32	33	34	35	36	37	38	39	65	#
92	7.61495	33	34	35	36	37	38	39	40	65	#
93	7.61495	34	35	36	37	38	39	40	41	65	#
94	7.61495	35	36	37	38	39	40	41	42	65	#
95	7.61495	36	37	38	39	40	41	42	43	65	#
96	13.5817	0	1	2	3	4	5	6	7	66	#
97	13.5817	1	2	3	4	5	6	7	8	66	#
98	13.5817	2	3	4	5	6	7	8	9	66	#
99	13.5817	3	4	5	6	7	8	9	10	66	#
100	13.5817	4	5	6	7	8	9	10	11	66	#
101	13.5817	5	6	7	8	9	10	11	12	66	#
102	13.5817	6	7	8	9	10	11	12	13	66	#
103	13.5817	7	8	9	10	11	12	13	14	66	#
104	13.5817	8	9	10	11	12	13	14	15	66	#
105	13.5817	9	10	11	12	13	14	15	16	66	#
106	13.5817	10	11	12	13	14	15	16	17	66	#
107	13.5817	11	12	13	14	15	16	17	18	66	#
108	13.5817	12	13	14	15	16	17	18	19	66	#
109	13.5817	13	14	15	16	17	18	19	20	66	#
110	13.5817	14	15	16	17	18	19	20	21	66	#
111	13.5817	15	16	17	18	19	20	21	22	66	#
112	13.5817	16	17	18	19	20	21	22	23	66	#
113	13.5817	17	18	19	20	21	22	23	24	66	#
114	7.40823	18	19	20	21	22	23	24	25	66	#
115	7.40823	19	20	21	22	23	24	25	26	66	#
