%% File generated by CATS v.2.1Thu May  9 13:09:09 2024

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 64; Bids: 500; Distribution: scheduling; Runs: 1; Seed: 34
% Scheduling Distribution Parameters:
% max_length                = 10
% deviation                 = 0.500000
% prob_additional_deadline  = 0.700000
% additivity                = 0.200000



goods 64
bids 560
dummy 11

0	1.61627	0	1	64	#
1	1.61627	1	2	64	#
2	1.61627	2	3	64	#
3	1.61627	3	4	64	#
4	1.61627	4	5	64	#
5	1.61627	5	6	64	#
6	1.61627	6	7	64	#
7	1.61627	7	8	64	#
8	1.61627	8	9	64	#
9	1.61627	9	10	64	#
10	1.61627	10	11	64	#
11	1.61627	11	12	64	#
12	1.61627	12	13	64	#
13	1.61627	13	14	64	#
14	1.61627	14	15	64	#
15	1.61627	15	16	64	#
16	1.61627	16	17	64	#
17	1.61627	17	18	64	#
18	1.61627	18	19	64	#
19	1.61627	19	20	64	#
20	1.61627	20	21	64	#
21	1.61627	21	22	64	#
22	1.61627	22	23	64	#
23	1.61627	23	24	64	#
24	1.61627	24	25	64	#
25	1.61627	25	26	64	#
26	1.61627	26	27	64	#
27	1.61627	27	28	64	#
28	1.61627	28	29	64	#
29	1.61627	29	30	64	#
30	1.61627	30	31	64	#
31	1.61627	31	32	64	#
32	1.61627	32	33	64	#
33	1.61627	33	34	64	#
34	1.61627	34	35	64	#
35	1.61627	35	36	64	#
36	1.61627	36	37	64	#
37	1.61627	37	38	64	#
38	1.61627	38	39	64	#
39	1.61627	39	40	64	#
40	1.61627	40	41	64	#
41	1.61627	41	42	64	#
42	1.61627	42	43	64	#
43	1.61627	43	44	64	#
44	1.61627	44	45	64	#
45	1.61627	45	46	64	#
46	1.61627	46	47	64	#
47	1.51929	47	48	64	#
48	1.51929	48	49	64	#
49	1.51929	49	50	64	#
50	1.46086	50	51	64	#
51	1.46086	51	52	64	#
52	1.28753	52	53	64	#
53	1.28753	53	54	64	#
54	1.28753	54	55	64	#
55	1.28753	55	56	64	#
56	1.28753	56	57	64	#
57	1.28753	57	58	64	#
58	1.28753	58	59	64	#
59	1.24532	59	60	64	#
60	1.24532	60	61	64	#
61	1.22523	61	62	64	#
62	1.20579	62	63	64	#
63	10.4643	0	1	2	3	4	5	6	7	65	#
64	10.4643	1	2	3	4	5	6	7	8	65	#
65	10.4643	2	3	4	5	6	7	8	9	65	#
66	10.4643	3	4	5	6	7	8	9	10	65	#
67	10.4643	4	5	6	7	8	9	10	11	65	#
68	10.4643	5	6	7	8	9	10	11	12	65	#
69	10.4643	6	7	8	9	10	11	12	13	65	#
70	10.4643	7	8	9	10	11	12	13	14	65	#
71	10.4643	8	9	10	11	12	13	14	15	65	#
72	10.4643	9	10	11	12	13	14	15	16	65	#
73	10.4643	10	11	12	13	14	15	16	17	65	#
74	10.4643	11	12	13	14	15	16	17	18	65	#
75	10.4643	12	13	14	15	16	17	18	19	65	#
76	10.4643	13	14	15	16	17	18	19	20	65	#
77	10.4643	14	15	16	17	18	19	20	21	65	#
78	10.4643	15	16	17	18	19	20	21	22	65	#
79	10.4643	16	17	18	19	20	21	22	23	65	#
80	10.4643	17	18	19	20	21	22	23	24	65	#
81	10.4643	18	19	20	21	22	23	24	25	65	#
82	10.4643	19	20	21	22	23	24	25	26	65	#
83	10.4643	20	21	22	23	24	25	26	27	65	#
84	10.4643	21	22	23	24	25	26	27	28	65	#
85	10.4643	22	23	24	25	26	27	28	29	65	#
86	10.4643	23	24	25	26	27	28	29	30	65	#
87	10.4643	24	25	26	27	28	29	30	31	65	#
88	10.4643	25	26	27	28	29	30	31	32	65	#
89	10.4643	26	27	28	29	30	31	32	33	65	#
90	10.4643	27	28	29	30	31	32	33	34	65	#
91	10.4643	28	29	30	31	32	33	34	35	65	#
92	10.4643	29	30	31	32	33	34	35	36	65	#
93	10.4643	30	31	32	33	34	35	36	37	65	#
94	10.4643	31	32	33	34	35	36	37	38	65	#
95	10.4643	32	33	34	35	36	37	38	39	65	#
96	10.4643	33	34	35	36	37	38	39	40	65	#
97	10.4643	34	35	36	37	38	39	40	41	65	#
98	10.4643	35	36	37	38	39	40	41	42	65	#
99	10.4643	36	37	38	39	40	41	42	43	65	#
100	10.4643	37	38	39	40	41	42	43	44	65	#
101	10.4643	38	39	40	41	42	43	44	45	65	#
102	10.4643	39	40	41	42	43	44	45	46	65	#
103	10.4643	40	41	42	43	44	45	46	47	65	#
104	10.4643	41	42	43	44	45	46	47	48	65	#
