%% File generated by CATS v.2.1Thu May  9 12:48:23 2024

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 20; Bids: 50; Distribution: matching; Runs: 1; Seed: 56
% Matching Distribution Parameters:
% Max airport price       = 5
% Early takeoff deviation = 1
% Late takeoff deviation  = 2
% Early landing deviation = 1
% Late landing deviation  = 2
% Deviation               = 0.500000
% Delay coefficient       = 0.900000
% Amount late coefficient = 0.750000



goods 20
bids 52
dummy 15

0	4.72426	0	18	#
1	3.78442	14	17	34	#
2	2.04728	14	17	30	#
3	4.59358	3	5	23	#
4	4.13422	3	9	23	#
5	3.7208	3	13	23	#
6	4.59358	7	9	23	#
7	4.13422	7	13	23	#
8	4.59358	11	13	23	#
9	4.88701	2	5	24	#
10	3.29873	2	9	24	#
11	2.96886	2	13	24	#
12	2.67197	2	17	24	#
13	3.66525	6	9	24	#
14	3.29873	6	13	24	#
15	2.96886	6	17	24	#
16	3.66525	10	13	24	#
17	3.29873	10	17	24	#
18	3.66525	14	17	24	#
19	3.41901	6	9	25	#
20	2.30783	6	13	25	#
21	2.07705	6	17	25	#
22	2.56426	10	13	25	#
23	2.30783	10	17	25	#
24	2.56426	14	17	25	#
25	10.136	11	13	26	#
26	6.84178	11	17	26	#
27	7.60198	15	17	26	#
28	6.90377	3	5	28	#
29	6.21339	3	9	28	#
30	5.59205	3	13	28	#
31	6.90377	7	9	28	#
32	6.21339	7	13	28	#
33	6.90377	11	13	28	#
34	13.5504	3	16	#
35	2.72971	6	9	30	#
36	1.84255	6	13	30	#
37	1.6583	6	17	30	#
38	2.04728	10	13	30	#
39	1.84255	10	17	30	#
40	7.85929	3	5	31	#
41	7.07336	3	9	31	#
42	6.36602	3	13	31	#
43	7.85929	7	9	31	#
44	7.07336	7	13	31	#
45	7.85929	11	13	31	#
46	9.63769	2	16	#
47	5.04589	6	9	34	#
48	3.40597	6	13	34	#
49	3.06538	6	17	34	#
50	3.78442	10	13	34	#
51	3.40597	10	17	34	#
