%% File generated by CATS v.2.1Thu May  9 12:48:23 2024

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 20; Bids: 50; Distribution: matching; Runs: 1; Seed: 8
% Matching Distribution Parameters:
% Max airport price       = 5
% Early takeoff deviation = 1
% Late takeoff deviation  = 2
% Early landing deviation = 1
% Late landing deviation  = 2
% Deviation               = 0.500000
% Delay coefficient       = 0.900000
% Amount late coefficient = 0.750000



goods 20
bids 52
dummy 15

0	0.594456	0	18	#
1	2.10416	14	17	34	#
2	4.72409	3	16	#
3	5.11605	3	5	23	#
4	4.60445	3	9	23	#
5	4.144	3	13	23	#
6	5.11605	7	9	23	#
7	4.60445	7	13	23	#
8	5.11605	11	13	23	#
9	3.51918	2	5	24	#
10	2.37544	2	9	24	#
11	2.1379	2	13	24	#
12	1.92411	2	17	24	#
13	2.63938	6	9	24	#
14	2.37544	6	13	24	#
15	2.1379	6	17	24	#
16	2.63938	10	13	24	#
17	2.37544	10	17	24	#
18	2.63938	14	17	24	#
19	2.88665	6	9	25	#
20	1.94849	6	13	25	#
21	1.75364	6	17	25	#
22	2.16499	10	13	25	#
23	1.94849	10	17	25	#
24	2.16499	14	17	25	#
25	8.35615	11	13	26	#
26	5.6404	11	17	26	#
27	6.26711	15	17	26	#
28	2.89656	3	5	28	#
29	2.6069	3	9	28	#
30	2.34621	3	13	28	#
31	2.89656	7	9	28	#
32	2.6069	7	13	28	#
33	2.89656	11	13	28	#
34	2.9218	6	9	30	#
35	1.97221	6	13	30	#
36	1.77499	6	17	30	#
37	2.19135	10	13	30	#
38	1.97221	10	17	30	#
39	2.19135	14	17	30	#
40	2.76899	3	5	31	#
41	2.49209	3	9	31	#
42	2.24288	3	13	31	#
43	2.76899	7	9	31	#
44	2.49209	7	13	31	#
45	2.76899	11	13	31	#
46	0.690887	2	16	#
47	2.80554	6	9	34	#
48	1.89374	6	13	34	#
49	1.70437	6	17	34	#
50	2.10416	10	13	34	#
51	1.89374	10	17	34	#
