%% File generated by CATS v.2.1Thu May  9 12:48:23 2024

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 24; Bids: 50; Distribution: matching; Runs: 1; Seed: 79
% Matching Distribution Parameters:
% Max airport price       = 5
% Early takeoff deviation = 1
% Late takeoff deviation  = 2
% Early landing deviation = 1
% Late landing deviation  = 2
% Deviation               = 0.500000
% Delay coefficient       = 0.900000
% Amount late coefficient = 0.750000



goods 24
bids 52
dummy 13

0	10.1614	2	20	#
1	4.56778	3	5	25	#
2	4.111	3	9	25	#
3	3.6999	3	13	25	#
4	4.56778	7	9	25	#
5	4.111	7	13	25	#
6	4.56778	11	13	25	#
7	7.73074	1	16	26	#
8	6.95766	1	20	26	#
9	7.73074	5	20	26	#
10	6.97474	3	5	27	#
11	6.27727	3	9	27	#
12	5.64954	3	13	27	#
13	6.97474	7	9	27	#
14	6.27727	7	13	27	#
15	6.97474	11	13	27	#
16	4.7302	0	17	28	#
17	4.25718	0	21	28	#
18	4.7302	4	21	28	#
19	3.83873	0	17	29	#
20	3.45486	0	21	29	#
21	3.83873	4	21	29	#
22	6.70169	1	16	30	#
23	6.03152	1	20	30	#
24	6.70169	5	20	30	#
25	3.57395	1	16	31	#
26	3.21656	1	20	31	#
27	3.57395	5	20	31	#
28	10.0357	9	15	32	#
29	6.77409	9	19	32	#
30	6.09668	9	23	32	#
31	7.52676	13	19	32	#
32	6.77409	13	23	32	#
33	7.52676	17	23	32	#
34	4.24062	0	22	#
35	10.5782	0	23	#
36	3.26778	2	5	35	#
37	2.20575	2	9	35	#
38	1.98518	2	13	35	#
39	1.78666	2	17	35	#
40	2.45084	6	9	35	#
41	2.20575	6	13	35	#
42	1.98518	6	17	35	#
43	2.45084	10	13	35	#
44	2.20575	10	17	35	#
45	2.45084	14	17	35	#
46	3.84076	3	5	36	#
47	3.45669	3	9	36	#
48	3.11102	3	13	36	#
49	3.84076	7	9	36	#
50	3.45669	7	13	36	#
51	3.84076	11	13	36	#
