%% File generated by CATS v.2.1Thu May  9 12:48:23 2024

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 24; Bids: 50; Distribution: matching; Runs: 1; Seed: 17
% Matching Distribution Parameters:
% Max airport price       = 5
% Early takeoff deviation = 1
% Late takeoff deviation  = 2
% Early landing deviation = 1
% Late landing deviation  = 2
% Deviation               = 0.500000
% Delay coefficient       = 0.900000
% Amount late coefficient = 0.750000



goods 24
bids 51
dummy 13

0	11.2209	3	20	#
1	8.39097	0	22	#
2	10.0265	3	5	27	#
3	9.02384	3	9	27	#
4	8.12146	3	13	27	#
5	10.0265	7	9	27	#
6	9.02384	7	13	27	#
7	10.0265	11	13	27	#
8	12.9658	1	6	29	#
9	8.75189	1	10	29	#
10	7.8767	1	14	29	#
11	7.08903	1	18	29	#
12	9.72432	5	10	29	#
13	8.75189	5	14	29	#
14	7.8767	5	18	29	#
15	9.72432	9	14	29	#
16	8.75189	9	18	29	#
17	9.72432	13	18	29	#
18	13.5893	10	13	30	#
19	9.1728	10	17	30	#
20	8.25552	10	21	30	#
21	10.192	14	17	30	#
22	9.1728	14	21	30	#
23	10.192	18	21	30	#
24	9.351	2	5	31	#
25	6.31192	2	9	31	#
26	5.68073	2	13	31	#
27	5.11266	2	17	31	#
28	7.01325	6	9	31	#
29	6.31192	6	13	31	#
30	5.68073	6	17	31	#
31	7.01325	10	13	31	#
32	6.31192	10	17	31	#
33	7.01325	14	17	31	#
34	5.70846	2	20	#
35	9.96937	5	11	33	#
36	6.72933	5	15	33	#
37	6.05639	5	19	33	#
38	5.45075	5	23	33	#
39	7.47703	9	15	33	#
40	6.72933	9	19	33	#
41	6.05639	9	23	33	#
42	7.47703	13	19	33	#
43	6.72933	13	23	33	#
44	7.47703	17	23	33	#
45	16.7876	1	16	34	#
46	11.3316	1	20	34	#
47	12.5907	5	20	34	#
48	14.3946	1	16	36	#
49	9.71636	1	20	36	#
50	10.796	5	20	36	#
