%% File generated by CATS v.2.1Thu May  9 12:48:23 2024

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 24; Bids: 50; Distribution: matching; Runs: 1; Seed: 60
% Matching Distribution Parameters:
% Max airport price       = 5
% Early takeoff deviation = 1
% Late takeoff deviation  = 2
% Early landing deviation = 1
% Late landing deviation  = 2
% Deviation               = 0.500000
% Delay coefficient       = 0.900000
% Amount late coefficient = 0.750000



goods 24
bids 53
dummy 14

0	4.80433	2	20	#
1	4.23672	0	22	#
2	1.89154	1	6	26	#
3	1.70239	1	10	26	#
4	1.53215	1	14	26	#
5	1.89154	5	10	26	#
6	1.70239	5	14	26	#
7	1.89154	9	14	26	#
8	5.68525	13	19	27	#
9	3.83754	13	23	27	#
10	4.26394	17	23	27	#
11	1.73463	5	20	35	#
12	8.25238	1	7	30	#
13	5.57036	1	11	30	#
14	5.01332	1	15	30	#
15	4.51199	1	19	30	#
16	6.18929	5	11	30	#
17	5.57036	5	15	30	#
18	5.01332	5	19	30	#
19	6.18929	9	15	30	#
20	5.57036	9	19	30	#
21	6.18929	13	19	30	#
22	2.99308	9	14	31	#
23	2.02033	9	18	31	#
24	1.8183	9	22	31	#
25	2.24481	13	18	31	#
26	2.02033	13	22	31	#
27	2.24481	17	22	31	#
28	6.46217	9	15	32	#
29	4.36197	9	19	32	#
30	3.92577	9	23	32	#
31	4.84663	13	19	32	#
32	4.36197	13	23	32	#
33	4.84663	17	23	32	#
34	3.24637	9	14	33	#
35	2.1913	9	18	33	#
36	1.97217	9	22	33	#
37	2.43478	13	18	33	#
38	2.1913	13	22	33	#
39	2.43478	17	22	33	#
40	6.60615	0	23	#
41	2.31284	1	16	35	#
42	1.56117	1	20	35	#
43	1.50558	1	6	37	#
44	1.01627	1	10	37	#
45	0.91464	1	14	37	#
46	0.823176	1	18	37	#
47	1.12919	5	10	37	#
48	1.01627	5	14	37	#
49	0.91464	5	18	37	#
50	1.12919	9	14	37	#
51	1.01627	9	18	37	#
52	1.12919	13	18	37	#
