%% File generated by CATS v.2.1Thu May  9 12:48:24 2024

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 40; Bids: 100; Distribution: matching; Runs: 1; Seed: 57
% Matching Distribution Parameters:
% Max airport price       = 5
% Early takeoff deviation = 1
% Late takeoff deviation  = 2
% Early landing deviation = 1
% Late landing deviation  = 2
% Deviation               = 0.500000
% Delay coefficient       = 0.900000
% Amount late coefficient = 0.750000



goods 40
bids 100
dummy 24

0	8.11669	3	36	#
1	6.14901	13	22	45	#
2	11.9721	15	21	43	#
3	8.08117	15	25	43	#
4	7.27306	15	29	43	#
5	6.54575	15	33	43	#
6	8.97908	19	25	43	#
7	8.08117	19	29	43	#
8	7.27306	19	33	43	#
9	8.97908	23	29	43	#
10	8.08117	23	33	43	#
11	8.97908	27	33	43	#
12	5.92068	0	38	#
13	8.19868	1	10	45	#
14	5.53411	1	14	45	#
15	4.9807	1	18	45	#
16	4.48263	1	22	45	#
17	6.14901	5	14	45	#
18	5.53411	5	18	45	#
19	4.9807	5	22	45	#
20	6.14901	9	18	45	#
21	5.53411	9	22	45	#
22	8.92322	18	25	46	#
23	6.02317	18	29	46	#
24	5.42086	18	33	46	#
25	4.87877	18	37	46	#
26	6.69241	22	29	46	#
27	6.02317	22	33	46	#
28	5.42086	22	37	46	#
29	6.69241	26	33	46	#
30	6.02317	26	37	46	#
31	6.69241	30	37	46	#
32	5.10214	10	17	47	#
33	3.44395	10	21	47	#
34	3.09955	10	25	47	#
35	2.7896	10	29	47	#
36	3.82661	14	21	47	#
37	3.44395	14	25	47	#
38	3.09955	14	29	47	#
39	3.82661	18	25	47	#
40	3.44395	18	29	47	#
41	3.82661	22	29	47	#
42	3.68757	29	38	62	#
43	5.95003	9	19	49	#
44	4.01627	9	23	49	#
45	3.61464	9	27	49	#
46	3.25318	9	31	49	#
47	4.46252	13	23	49	#
48	4.01627	13	27	49	#
49	3.61464	13	31	49	#
50	4.46252	17	27	49	#
51	4.01627	17	31	49	#
52	4.46252	21	31	49	#
53	9.01696	1	28	50	#
54	8.11526	1	32	50	#
55	7.30374	1	36	50	#
56	9.01696	5	32	50	#
57	8.11526	5	36	50	#
58	9.01696	9	36	50	#
59	11.4998	1	28	52	#
60	10.3498	1	32	52	#
61	9.31483	1	36	52	#
62	11.4998	5	32	52	#
63	10.3498	5	36	52	#
64	11.4998	9	36	52	#
65	7.37414	2	36	#
66	10.5015	22	29	54	#
67	7.08852	22	33	54	#
68	6.37967	22	37	54	#
69	7.87614	26	33	54	#
70	7.08852	26	37	54	#
71	7.87614	30	37	54	#
72	4.6728	0	29	55	#
73	4.20552	0	33	55	#
74	3.78497	0	37	55	#
75	4.6728	4	33	55	#
76	4.20552	4	37	55	#
77	4.6728	8	37	55	#
78	4.31498	2	9	56	#
79	2.91261	2	13	56	#
80	2.62135	2	17	56	#
81	2.35921	2	21	56	#
82	3.23623	6	13	56	#
83	2.91261	6	17	56	#
84	2.62135	6	21	56	#
85	3.23623	10	17	56	#
86	2.91261	10	21	56	#
87	3.23623	14	21	56	#
88	7.84895	0	39	#
89	4.91677	21	30	62	#
90	3.31882	21	34	62	#
91	2.98694	21	38	62	#
92	3.68757	25	34	62	#
93	3.31882	25	38	62	#
94	15.8936	0	29	63	#
95	10.7282	0	33	63	#
96	9.65537	0	37	63	#
97	11.9202	4	33	63	#
98	10.7282	4	37	63	#
99	11.9202	8	37	63	#
