%% File generated by CATS v.2.1Thu May  9 12:48:24 2024

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 40; Bids: 100; Distribution: matching; Runs: 1; Seed: 84
% Matching Distribution Parameters:
% Max airport price       = 5
% Early takeoff deviation = 1
% Late takeoff deviation  = 2
% Early landing deviation = 1
% Late landing deviation  = 2
% Deviation               = 0.500000
% Delay coefficient       = 0.900000
% Amount late coefficient = 0.750000



goods 40
bids 103
dummy 20

0	2.41739	2	36	#
1	2.88957	0	38	#
2	6.5481	13	22	42	#
3	4.41997	13	26	42	#
4	3.97797	13	30	42	#
5	3.58017	13	34	42	#
6	4.91107	17	26	42	#
7	4.41997	17	30	42	#
8	3.97797	17	34	42	#
9	4.91107	21	30	42	#
10	4.41997	21	34	42	#
11	4.91107	25	34	42	#
12	17.9561	5	15	43	#
13	12.1204	5	19	43	#
14	10.9083	5	23	43	#
15	9.81751	5	27	43	#
16	13.4671	9	19	43	#
17	12.1204	9	23	43	#
18	10.9083	9	27	43	#
19	13.4671	13	23	43	#
20	12.1204	13	27	43	#
21	13.4671	17	27	43	#
22	7.9491	0	39	#
23	6.63367	17	27	46	#
24	4.47773	17	31	46	#
25	4.02996	17	35	46	#
26	3.62696	17	39	46	#
27	4.97526	21	31	46	#
28	4.47773	21	35	46	#
29	4.02996	21	39	46	#
30	4.97526	25	35	46	#
31	4.47773	25	39	46	#
32	4.97526	29	39	46	#
33	3.66583	1	10	47	#
34	3.29924	1	14	47	#
35	2.96932	1	18	47	#
36	3.66583	5	14	47	#
37	3.29924	5	18	47	#
38	3.66583	9	18	47	#
39	12.4635	21	31	48	#
40	8.41289	21	35	48	#
41	7.5716	21	39	48	#
42	9.34765	25	35	48	#
43	8.41289	25	39	48	#
44	9.34765	29	39	48	#
45	6.82238	1	10	49	#
46	6.14014	1	14	49	#
47	5.52612	1	18	49	#
48	6.82238	5	14	49	#
49	6.14014	5	18	49	#
50	6.82238	9	18	49	#
51	10.311	1	28	51	#
52	6.95995	1	32	51	#
53	6.26395	1	36	51	#
54	7.73327	5	32	51	#
55	6.95995	5	36	51	#
56	7.73327	9	36	51	#
57	6.24505	1	10	53	#
58	4.21541	1	14	53	#
59	3.79387	1	18	53	#
60	3.41448	1	22	53	#
61	4.68379	5	14	53	#
62	4.21541	5	18	53	#
63	3.79387	5	22	53	#
64	4.68379	9	18	53	#
65	4.21541	9	22	53	#
66	4.68379	13	22	53	#
67	5.05482	0	29	54	#
68	3.412	0	33	54	#
69	3.0708	0	37	54	#
70	3.79111	4	33	54	#
71	3.412	4	37	54	#
72	3.79111	8	37	54	#
73	6.73253	4	33	55	#
74	4.54446	4	37	55	#
75	5.0494	8	37	55	#
76	16.2646	13	23	56	#
77	10.9786	13	27	56	#
78	9.88076	13	31	56	#
79	8.89269	13	35	56	#
80	12.1985	17	27	56	#
81	10.9786	17	31	56	#
82	9.88076	17	35	56	#
83	12.1985	21	31	56	#
84	10.9786	21	35	56	#
85	12.1985	25	35	56	#
86	8.78875	3	36	#
87	3.70206	6	13	58	#
88	2.49889	6	17	58	#
89	2.249	6	21	58	#
90	2.0241	6	25	58	#
91	2.77654	10	17	58	#
92	2.49889	10	21	58	#
93	2.249	10	25	58	#
94	2.77654	14	21	58	#
95	2.49889	14	25	58	#
96	2.77654	18	25	58	#
97	8.55499	3	9	59	#
98	7.69949	3	13	59	#
99	6.92955	3	17	59	#
100	8.55499	7	13	59	#
101	7.69949	7	17	59	#
102	8.55499	11	17	59	#
