%% File generated by CATS v.2.1Thu May  9 13:09:07 2024

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 40; Bids: 100; Distribution: scheduling; Runs: 1; Seed: 10
% Scheduling Distribution Parameters:
% max_length                = 10
% deviation                 = 0.500000
% prob_additional_deadline  = 0.700000
% additivity                = 0.200000



goods 40
bids 118
dummy 4

0	8.4212	0	1	2	3	4	5	40	#
1	8.4212	1	2	3	4	5	6	40	#
2	8.4212	2	3	4	5	6	7	40	#
3	8.4212	3	4	5	6	7	8	40	#
4	8.4212	4	5	6	7	8	9	40	#
5	8.4212	5	6	7	8	9	10	40	#
6	8.4212	6	7	8	9	10	11	40	#
7	8.4212	7	8	9	10	11	12	40	#
8	8.4212	8	9	10	11	12	13	40	#
9	8.4212	9	10	11	12	13	14	40	#
10	8.4212	10	11	12	13	14	15	40	#
11	8.4212	11	12	13	14	15	16	40	#
12	8.4212	12	13	14	15	16	17	40	#
13	8.4212	13	14	15	16	17	18	40	#
14	8.4212	14	15	16	17	18	19	40	#
15	8.4212	15	16	17	18	19	20	40	#
16	8.4212	16	17	18	19	20	21	40	#
17	8.4212	17	18	19	20	21	22	40	#
18	8.4212	18	19	20	21	22	23	40	#
19	8.4212	19	20	21	22	23	24	40	#
20	8.4212	20	21	22	23	24	25	40	#
21	8.4212	21	22	23	24	25	26	40	#
22	8.4212	22	23	24	25	26	27	40	#
23	8.4212	23	24	25	26	27	28	40	#
24	8.4212	24	25	26	27	28	29	40	#
25	8.4212	25	26	27	28	29	30	40	#
26	8.4212	26	27	28	29	30	31	40	#
27	8.4212	27	28	29	30	31	32	40	#
28	8.4212	28	29	30	31	32	33	40	#
29	8.4212	29	30	31	32	33	34	40	#
30	7.95336	30	31	32	33	34	35	40	#
31	7.95336	31	32	33	34	35	36	40	#
32	7.34156	32	33	34	35	36	37	40	#
33	7.34156	33	34	35	36	37	38	40	#
34	7.34156	34	35	36	37	38	39	40	#
35	3.34703	0	1	41	#
36	3.34703	1	2	41	#
37	3.34703	2	3	41	#
38	3.34703	3	4	41	#
39	3.34703	4	5	41	#
40	3.34703	5	6	41	#
41	3.34703	6	7	41	#
42	3.34703	7	8	41	#
43	3.34703	8	9	41	#
44	3.34703	9	10	41	#
45	3.34703	10	11	41	#
46	3.34703	11	12	41	#
47	3.34703	12	13	41	#
48	3.34703	13	14	41	#
49	3.34703	14	15	41	#
50	3.34703	15	16	41	#
51	3.34703	16	17	41	#
52	3.34703	17	18	41	#
53	3.34703	18	19	41	#
54	3.34703	19	20	41	#
55	3.34703	20	21	41	#
56	3.34703	21	22	41	#
57	3.34703	22	23	41	#
58	3.34703	23	24	41	#
59	3.34703	24	25	41	#
60	3.34703	25	26	41	#
61	3.34703	26	27	41	#
62	3.34703	27	28	41	#
63	3.34703	28	29	41	#
64	3.34703	29	30	41	#
65	3.34703	30	31	41	#
66	3.34703	31	32	41	#
67	3.34703	32	33	41	#
68	3.34703	33	34	41	#
69	3.34703	34	35	41	#
70	3.34703	35	36	41	#
71	3.34703	36	37	41	#
72	3.34703	37	38	41	#
73	3.34703	38	39	41	#
74	19.5396	0	1	2	3	4	5	6	7	8	9	42	#
75	19.5396	1	2	3	4	5	6	7	8	9	10	42	#
76	19.5396	2	3	4	5	6	7	8	9	10	11	42	#
77	19.5396	3	4	5	6	7	8	9	10	11	12	42	#
78	19.5396	4	5	6	7	8	9	10	11	12	13	42	#
79	3.40885	0	1	43	#
80	3.40885	1	2	43	#
81	3.40885	2	3	43	#
82	3.40885	3	4	43	#
83	3.40885	4	5	43	#
84	3.40885	5	6	43	#
85	3.40885	6	7	43	#
86	3.40885	7	8	43	#
87	3.40885	8	9	43	#
88	3.40885	9	10	43	#
89	3.40885	10	11	43	#
90	3.40885	11	12	43	#
91	3.40885	12	13	43	#
92	3.40885	13	14	43	#
93	3.40885	14	15	43	#
94	3.40885	15	16	43	#
95	3.40885	16	17	43	#
96	3.40885	17	18	43	#
97	1.57331	18	19	43	#
98	1.57331	19	20	43	#
99	1.57331	20	21	43	#
100	1.57331	21	22	43	#
101	1.57331	22	23	43	#
102	1.57331	23	24	43	#
103	1.57331	24	25	43	#
104	1.57331	25	26	43	#
105	1.57331	26	27	43	#
106	1.57331	27	28	43	#
107	1.57331	28	29	43	#
108	1.57331	29	30	43	#
109	1.57331	30	31	43	#
110	1.57331	31	32	43	#
111	1.57331	32	33	43	#
112	1.57331	33	34	43	#
113	1.57331	34	35	43	#
114	1.57331	35	36	43	#
115	1.57331	36	37	43	#
116	1.57331	37	38	43	#
117	1.57331	38	39	43	#
