%% File generated by CATS v.2.1Thu May  9 13:09:06 2024

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 12; Bids: 20; Distribution: scheduling; Runs: 1; Seed: 66
% Scheduling Distribution Parameters:
% max_length                = 10
% deviation                 = 0.500000
% prob_additional_deadline  = 0.700000
% additivity                = 0.200000



goods 12
bids 27
dummy 5

0	21.139	0	1	2	3	4	5	6	7	8	9	12	#
1	21.139	1	2	3	4	5	6	7	8	9	10	12	#
2	7.71729	0	1	2	3	4	5	13	#
3	7.71729	1	2	3	4	5	6	13	#
4	7.71729	2	3	4	5	6	7	13	#
5	7.71729	3	4	5	6	7	8	13	#
6	5.4503	0	1	2	3	4	5	14	#
7	5.4503	1	2	3	4	5	6	14	#
8	5.4503	2	3	4	5	6	7	14	#
9	4.23912	3	4	5	6	7	8	14	#
10	4.23912	4	5	6	7	8	9	14	#
11	3.46837	5	6	7	8	9	10	14	#
12	3.46837	6	7	8	9	10	11	14	#
13	1.37594	0	15	#
14	1.37594	1	15	#
15	1.09778	0	16	#
16	1.09778	1	16	#
17	1.09778	2	16	#
18	1.09778	3	16	#
19	1.09778	4	16	#
20	1.09778	5	16	#
21	1.09778	6	16	#
22	1.09778	7	16	#
23	1.09778	8	16	#
24	1.09778	9	16	#
25	1.09778	10	16	#
26	0.997986	11	16	#
