%% File generated by CATS v.2.1Thu May  9 12:38:57 2024

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 12; Bids: 20; Distribution: arbitrary; Runs: 1; Seed: 93
% Arbitrary Distribution Parameters:
% Max Substitutable Bids = 5
% Removing HV Neighbor   = 0.1
% Adding DIAG Neighbor   = 0.2
% Additional Location    = 0.9
% Additivity             = 0.2
% Budget Factor          = 1.5
% Resale Factor          = 0.5
% Uniform Private Value:
%   Deviation            = 0.5
%   Max Good Value       = 100



goods 12
bids 23
dummy 5

0	195.936	3	5	6	7	9	10	12	#
1	236.386	1	2	3	5	9	10	12	#
2	413.107	0	1	2	3	4	5	6	7	8	9	10	11	#
3	303.98	1	2	8	10	11	13	#
4	318.254	1	2	5	6	8	13	#
5	309.296	0	1	2	6	11	13	#
6	304.453	1	2	5	8	10	13	#
7	253.16	2	3	4	5	8	13	#
8	236.9	1	4	5	6	8	13	#
9	174.354	1	11	14	#
10	107.554	1	5	14	#
11	505.033	0	4	5	6	7	10	11	15	#
12	556.303	0	1	6	7	8	10	11	15	#
13	508.099	0	1	3	5	7	10	11	15	#
14	504.623	0	1	2	4	7	10	11	15	#
15	488.098	0	1	5	6	7	8	10	15	#
16	460.607	0	1	4	5	6	7	10	15	#
17	402.645	1	2	4	5	6	10	11	16	#
18	484.101	1	2	5	6	7	9	10	16	#
19	478.689	0	1	4	6	9	10	11	16	#
20	471.597	0	1	4	5	6	9	10	16	#
21	428.413	0	1	2	4	5	6	10	16	#
22	424.45	0	1	4	5	6	7	10	16	#
