%% File generated by CATS v.2.1Thu May  9 13:09:07 2024

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 52; Bids: 100; Distribution: scheduling; Runs: 1; Seed: 15
% Scheduling Distribution Parameters:
% max_length                = 10
% deviation                 = 0.500000
% prob_additional_deadline  = 0.700000
% additivity                = 0.200000



goods 52
bids 132
dummy 3

0	8.16129	0	1	2	3	4	5	6	7	52	#
1	8.16129	1	2	3	4	5	6	7	8	52	#
2	8.16129	2	3	4	5	6	7	8	9	52	#
3	8.16129	3	4	5	6	7	8	9	10	52	#
4	8.16129	4	5	6	7	8	9	10	11	52	#
5	8.16129	5	6	7	8	9	10	11	12	52	#
6	8.16129	6	7	8	9	10	11	12	13	52	#
7	8.16129	7	8	9	10	11	12	13	14	52	#
8	8.16129	8	9	10	11	12	13	14	15	52	#
9	8.16129	9	10	11	12	13	14	15	16	52	#
10	8.16129	10	11	12	13	14	15	16	17	52	#
11	8.16129	11	12	13	14	15	16	17	18	52	#
12	8.16129	12	13	14	15	16	17	18	19	52	#
13	8.16129	13	14	15	16	17	18	19	20	52	#
14	8.16129	14	15	16	17	18	19	20	21	52	#
15	8.16129	15	16	17	18	19	20	21	22	52	#
16	6.64994	16	17	18	19	20	21	22	23	52	#
17	6.64994	17	18	19	20	21	22	23	24	52	#
18	6.64994	18	19	20	21	22	23	24	25	52	#
19	6.64994	19	20	21	22	23	24	25	26	52	#
20	6.64994	20	21	22	23	24	25	26	27	52	#
21	3.59097	21	22	23	24	25	26	27	28	52	#
22	3.59097	22	23	24	25	26	27	28	29	52	#
23	3.59097	23	24	25	26	27	28	29	30	52	#
24	3.59097	24	25	26	27	28	29	30	31	52	#
25	3.59097	25	26	27	28	29	30	31	32	52	#
26	3.59097	26	27	28	29	30	31	32	33	52	#
27	3.59097	27	28	29	30	31	32	33	34	52	#
28	3.59097	28	29	30	31	32	33	34	35	52	#
29	3.59097	29	30	31	32	33	34	35	36	52	#
30	3.59097	30	31	32	33	34	35	36	37	52	#
31	3.59097	31	32	33	34	35	36	37	38	52	#
32	3.59097	32	33	34	35	36	37	38	39	52	#
33	3.59097	33	34	35	36	37	38	39	40	52	#
34	3.59097	34	35	36	37	38	39	40	41	52	#
35	3.59097	35	36	37	38	39	40	41	42	52	#
36	3.59097	36	37	38	39	40	41	42	43	52	#
37	3.59097	37	38	39	40	41	42	43	44	52	#
38	3.59097	38	39	40	41	42	43	44	45	52	#
39	3.59097	39	40	41	42	43	44	45	46	52	#
40	3.59097	40	41	42	43	44	45	46	47	52	#
41	3.59097	41	42	43	44	45	46	47	48	52	#
42	3.59097	42	43	44	45	46	47	48	49	52	#
43	3.59097	43	44	45	46	47	48	49	50	52	#
44	3.52055	44	45	46	47	48	49	50	51	52	#
45	13.9201	0	1	2	3	4	5	6	7	53	#
46	13.9201	1	2	3	4	5	6	7	8	53	#
47	13.9201	2	3	4	5	6	7	8	9	53	#
48	13.9201	3	4	5	6	7	8	9	10	53	#
49	13.9201	4	5	6	7	8	9	10	11	53	#
50	13.9201	5	6	7	8	9	10	11	12	53	#
51	13.9201	6	7	8	9	10	11	12	13	53	#
